Operations O&M Charging Guidelines,,,,,,,,,,,,
WIND SITES and CENTRAL SERVICES WIND SITE SUPPORT,,,,,,,,,,,,
Description,Account,Resource Type,"Process ID
*INFORMATIONAL ONLY",Additional Guidance,Account #,Account Name,"Project Code
XXXX = Site Location Code",Category,Sub Category,Account Group,,
BOP Road & Infrastructure Maintenance,0510000,69400,BLDGGRD,"Roads, reclamation, gates, fences, grading, snow removal",515100,Outside Services Other,XXXX25B005,BoP,Civil BoP,Outside Services,,
Other BOP,,,MNTGEN,"Backup generator maintenance, crane repairs & inspection, alarm system equipment, exterminator (ants, bees)/pest control, weed control & spraying, tractor, snow plow, & lawn mower maintenance, septic cleaning, crop damage payments, NERC-CIP tower & facility locks, material costs related to lubrication excellence upgrade to build/upgrade the existing room",515100,Outside Services Other,XXXX25B005,BoP,Civil BoP,Outside Services,,
BOP Equipment Rental,,30000,LEASEXP,"Rental equip for switchgear replacement & annual outage, forklift & scissor lift rental, air monitors, JLG's, thumpers, excavators, specialty tool purchase, Industrial Scientific vendor invoices, crane to move Connex",514400,Maintenance equipment Rental,"XXXX25B001 (Corrective)
XXXX25B002 (Preventative)",BoP,Elec BoP,Equipment Maintenance,,
Preventative Maintenance and Scheduled Outages,0510000,30000,HVMTC,"Materials, parts and supplies needed to support Preventative Maintenance and Scheduled Outages; includes relays, general spare parts and rags",,,,,,,,
,,63000,,"Equipment Rentals to support Preventative Maintenance and Scheduled Outages (ex. manlifts, telehandlers, porta-potties); HV owns the costs for the following equipment rentals: generators for HV activities, test equipment, specialized equipment",,,,,,,,
Pad mount and Main Power Transformer Repairs (PLANNED work),,30000,PADMNT,"Materials, parts and supplies needed to support PM & MPT Repairs; includes pad mount transformers, switch gears, PMT's, MPT's, transformer oil, up tower transformer replacements",,,,,,,,
,,63000,,"Equipment Rentals to support PM & MPT Repairs (ex. manlifts, telehandlers, porta-potties); HV owns the costs for the following equipment rentals: generators for HV activities, test equipment, specialized equipment",,,,,,,,
NERC Testing and EEG Support,,63000,ENGSUPP,"Equipment Rentals to support the High Voltage designated activities at the left (ex. manlifts, telehandlers, porta-potties); HV owns the costs for the following equipment rentals: generators for HV activities, test equipment, specialized equipment",,,,,,,,
Corrective Maintenance & Unscheduled Outages,,,HGHVOLT,,,,,,,,,
T&D Corrective Maintenance,,63000,TDSYDMT,,,,,,,,,
T&D ,,69400,TDSYDMT,Locate fees for techs to locate underground cables before digging is done by another party,515100,Outside Services Other,"XXXX25B001 (Corrective)
XXXX25B002 (Preventative)",BoP,Elec BoP,Outside Services,,
BoP: Preventative Maintenance and Scheduled Outages,,,HVMTC,"Parts, materials, supplies (site department)",514100,Maintenance Material Other,XXXX25B002,BoP,Elec BoP,Equipment Maintenance,,
,,,,"3rd Party Services, Repairs (site department)",515109,Outside Services Equipment Maintenance,XXXX25B002,BoP,Elec BoP,Outside Services,,
,,,,Freight,514130,Maintenance Material Freight Out Courier/Trucking,XXXX25B002,BoP,Elec BoP,Equipment Maintenance,,
,,,,Crane,514403,Maintenance equipment Rental CRANE,XXXX25B002,BoP,Elec BoP,Equipment Maintenance,,
,,,,Labor (Deriva FTE),512101,Salaries and Wages - Regular Hours - Salaried,XXXX25B002,BoP,Elec BoP,Salary & Wages,,
,,,,Travel - use applicable travel account to correspond with cost,517100,Transportation - Other,XXXX25B002,BoP,Elec BoP,Travel,,
,,,,Per Diem,517112,Per Diem Allowance Travel Meals,XXXX25B002,BoP,Elec BoP,Meals & entertainment,,
,,,,Staff Aug/ Contingent workers (Labor),515220,Consultant - Staff Augmentation,XXXX25B002,BoP,Elec BoP,Consultant fees,,
,,,,Vehicle Rental,517105,Transportation - Auto Rental and Rental Car Fuel,XXXX25B002,BoP,Elec BoP,Travel,,
,,,,Vehicle Fuel,514501,Vehicle Fuel / Gas,XXXX25B002,BoP,Elec BoP,Motor vehicles,,
,,,,"Equipment Rentals to support Preventative Maintenance and Scheduled Outages (ex. manlifts, telehandlers, porta-potties); Equipment rental for generators for HV activities, test equipment, specialized equipment (site department)",514400,Maintenance equipment Rental,XXXX25B002,BoP,Elec BoP,Equipment Maintenance,,
,,,,"Contractor outage support arranged by HV team (equipment mobilization, Substation & T&D support)",515109,Outside Services Equipment Maintenance,XXXX25B002,BoP,Elec BoP,Outside Services,,
BoP: Corrective Maintenance and Unscheduled Outages,,,HGHVOLT,"Parts, materials, supplies (site department)",514100,Maintenance Material Other,XXXX25B001,BoP,Elec BoP,Equipment Maintenance,,
,,,,"3rd Party Services, Repairs (site department)",515109,Outside Services Equipment Maintenance,XXXX25B001,BoP,Elec BoP,Outside Services,,
,,,,Freight,514130,Maintenance Material Freight Out Courier/Trucking,XXXX25B001,BoP,Elec BoP,Equipment Maintenance,,
,,,,Crane,514403,Maintenance equipment Rental CRANE,XXXX25B001,BoP,Elec BoP,Equipment Maintenance,,
,,,,Labor (Deriva FTE),512101,Salaries and Wages - Regular Hours - Salaried,XXXX25B001,BoP,Elec BoP,Salary & Wages,,
,,,,Travel - use applicable travel account to correspond with cost,517100,Transportation - Other,XXXX25B001,BoP,Elec BoP,Travel,,
,,,,Per Diem,517112,Per Diem Allowance Travel Meals,XXXX25B001,BoP,Elec BoP,Meals & entertainment,,
,,,,Staff Aug/ Contingent workers (Labor),515220,Consultant - Staff Augmentation,XXXX25B001,BoP,Elec BoP,Consultant fees,,
,,,,Vehicle Rental,517105,Transportation - Auto Rental and Rental Car Fuel,XXXX25B001,BoP,Elec BoP,Travel,,
,,,,Vehicle Fuel,514501,Vehicle Fuel / Gas,XXXX25B001,BoP,Elec BoP,Motor vehicles,,
,,,,"Equipment Rentals to support Corrective Maintenance and Unscheduled Outages (ex. manlifts, telehandlers, porta-potties); Equipment rental for generators for HV activities, test equipment, specialized equipment (site department)",514400,Maintenance equipment Rental,XXXX25B001,BoP,Elec BoP,Equipment Maintenance,,
,,,,"Contractor outage support arranged by HV team (equipment mobilization, Substation & T&D support)",515109,Outside Services Equipment Maintenance,XXXX25B001,BoP,Elec BoP,Outside Services,,
"Met tower maintenance, fiber network repairs and switch replacements",0510000,69400,MTCEXP,"Includes met tower maintenance costs, fiber network repairs and switch replacements (including contractor and/or Duke internal Blade Repair Team)",515100,Outside Services Other,XXXX25B003,BoP,Met Mast/Met Station BoP,Outside Services,,
Inventory Items,0154100,21000,INVNT,"* Use the coding for items going into Maximo Inventory (i.e. the consumable box is NOT checked in Maximo)
  ** Accounting will code to the applicable project code once the inventory items are issued out of inventory 
","113150
*Dept and Location not needed in Basware",Other Inventory,,,,Inventory,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
ACCOUNTING USE ONLY,,,,,,,,,,,,
"Land Lease, Easement and Royalties",0506000,60007,LEASE,Lease schedule - Asset Mgmt,516111,Variable Lease Payments,,,,Royalties,,
Property Insurance,0500000,71000,INSOOPS,,513502,Insurance - Property,,,,Insurance,,
Liability Insurance,,71002,,,513501,Insurance - Liability,,,,Insurance,,
Insurance - Other,,71005,,Mesquite Creek Only - Stewart Title,513501,Insurance - Liability,,,,Insurance,,
ARO Accretion,0411050,99810,,,815617, ARO Accretion,,,,Non-cash interest,,
Donation Agreements,0416330,1B418,DONATE,Cimarron & Ironwood (Freestate Financing),513719,Other Fees,,,,Other Fees & charges,,
PILOT Programs (Payment in Lieu of Taxes),0416330,69500,MISCAG,Specified in contracts,513719,Other Fees,,,,Other Fees & charges,,
Upwind Indemnity Fee,0500000,99810,,Maryneal,513204,Other Fees & charges,,,,Other Fees & charges,,
Bank Fees,0930200,34001,BANKFEE,Financed entities only,513600,Bank charges & fees,,,,Other Fees & charges,,
Letter of Credit Fees,0921200,34002,LOCFEES,,741111,Fees Expense on Letter of Credit,,,,Other Interest & Financing Fees (Not Debt Related)7410,,
Green E certification fee,,69500,ADMIN,Frontier II,513719,Other Fees,,,,Other Fees & charges,,
Broker Fees,0930940,69500,ADMIN,,513719,Other Fees,,,,Other Fees & charges,,
Participation Agreements,0506000,60007,ADMIN,Frontier II,513719,Other Fees,,,,Other Fees & charges,,
Audit Fees,0928029,60005,AUDIT,Financed entities only,515300,Audit - Financial Statements,,,,Audit Fees,,
Mgmt Svcs Agreement Fees,0930050,99810,MSAFEE,Associated with financed sites (services provided to manage financings); Symphony reporting requirements,507299,Intercompany - Management Fees - Administrative Services Fees,,,,Management Fees Purchases,,
Energy Management Fees,,69500,EMAFEE,"Frontier II, Maryneal, Mesteno",507199,Intercompany - Management Fees - Trading & Marketing Fees,,,,Management Fees Purchases,,
O&M Fee,0501002,99810,OPFEE,"O&M management fee associated with financed sites (Reliability group, REMC, Reg Mgrs)",507299,Intercompany - Management Fees - Administrative Services Fees,,,,Management Fees Purchases,,
Admin Services Fees,0416330,69500,UNCSUB6,Mesquite Only,513204,Other Fees & charges,,,,Other Fees & charges,,
"QSE, PSE and Settlement Fees",,,,,513204,Other Fees & charges,,,,Other Fees & charges,,
Other - Hedging Costs,,,,,513204,Other Fees & charges,,,,Other Fees & charges,,
Legal Fees,0928031,69700,CSLTLGL,,515210,Consultant Legal Services,,,,Consultant fees,,
Gearbox failure & repair,0510000,71005,GEARBOX,Insurance Claim Proceeds,513502,Insurance - Property,XXXX25M001,,,Insurance,,
Generator failure & repair,,,GENERAT,,513502,Insurance - Property,XXXX25M002,,,Insurance,,
Main bearing/shaft failure & repair,,,MAINBEA,,513502,Insurance - Property,XXXX25M003,,,Insurance,,
Blade failure & repair,,,BLADES,,513502,Insurance - Property,XXXX25M004,,,Insurance,,
Property Tax,0408121,91004,PROPTAX,Property Tax,516200,Municipal Taxes - Hydrology Variable,,,,Property Tax and EDZ,,
Sales Tax,0408191,90004,OTHTAX,Sales Tax,516401,Non-Recoverable Tax Expense on Project,,,,Other Tax Expense,,
Franchise Tax,0408120,90001,FRNTAX,Franchise Tax,516402,Franchise Tax Fee,,,,Other Tax Expense,,
Fixed Asset Depreciation,0403002,99899,,,821000,Depreciation Expense - General,,,,Depreciation of Power Generating Assets,,
ARO Depreciation,0403150,,,,821100,Depreciation of Asset Retirement Obligation,,,,Depreciation of Power Generating Assets,,
Amortization Expense,0406505,,,,822100,Amortization of Intangible Assets - General,,,,Amortization of Intangibles,,
Misc. Amortization,,,AMRTEXP,Amortization Expense,822100,Amortization of Intangible Assets - General,,,,Amortization of Intangibles,,
Other income (expense),0419240,99810,,,811600,Interest income on restricted cash,,,,Interest Income - External,,
Asset write-off,0421200,,DISPOSE,Disposal of Assets,815100,Loss / (Gain) on Disposal of Asset / Business,,,,Gain / Loss on Disposal,,
Interest Expense,0427523,94105,INTEXP,,712001,Interest expense - SB USD,,,,Interest expense - SB USD,,
SPP Claw back Litigation Interest Expense,0417103,99810,UNCSUB3,Cimarron II,815100,Loss / (Gain) on Disposal of Asset / Business,,,,Gain / Loss on Disposal,,
Amortization of Deferred Financing Costs,0428100,99899,AMRTLN,,712201,Amortization of Discount - SB USD,,,,Amortization of Discount - SB USD,,
